Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
  a.out:2834	1353.508 ms	5	avg:    0.023 ms	max:    0.080 ms	max at:    541.625250 s	t1	
  a.out:2844	1341.938 ms	7	avg:    0.010 ms	max:    0.020 ms	max at:    543.489016 s	t1	
  a.out:2853	1362.576 ms	3	avg:    0.008 ms	max:    0.013 ms	max at:    544.984720 s	t1	
  a.out:(8)	             |  11673.888 ms |	     1062 |	 avg:   10.923 ms |	 max:   35.965 ms |	 max at:   1386.495729 s|	t8
  a.out:(7)	             |  10286.139 ms |	      920 |	 avg:   11.024 ms |	 max:   36.004 ms |	 max at:   1392.680147 s|	t8
  a.out:(8)	             |  11579.541 ms |	     1067 |	 avg:   10.832 ms |	 max:   31.990 ms |	 max at:   1396.440405 s|	t8
  a.out:(8)	             |  11824.842 ms |	     1085 |	 avg:   10.897 ms |	 max:   28.033 ms |	 max at:   1400.324692 s|	t8
  a.out:(8)	             |  11015.018 ms |	     1098 |	 avg:   10.016 ms |	 max:   31.983 ms |	 max at:   1403.672891 s|	t8
  a.out:(7)	             |  10081.971 ms |	      928 |	 avg:   10.762 ms |	 max:   31.980 ms |	 max at:   1405.525016 s|	t8
  a.out:(6)	             |   8685.062 ms |	      816 |	 avg:   10.663 ms |	 max:   41.477 ms |	 max at:   1409.221334 s|	t8
  a.out:(7)	             |  10203.709 ms |	      933 |	 avg:   11.172 ms |	 max:   32.846 ms |	 max at:   1413.265538 s|	t8
  a.out:(8)	             |  11642.512 ms |	     1006 |	 avg:   11.377 ms |	 max:   32.003 ms |	 max at:   1417.085795 s|	t8
  a.out:(8)	             |  10312.363 ms |	      901 |	 avg:   11.393 ms |	 max:   31.982 ms |	 max at:   1423.326216 s|	t8
  a.out:(8)	             |  11552.205 ms |	     1064 |	 avg:   10.889 ms |	 max:   28.012 ms |	 max at:   1424.722320 s|	t8
  a.out:(8)	             |  11582.110 ms |	     1274 |	 avg:    9.208 ms |	 max:   32.005 ms |	 max at:   1429.118635 s|	t8
  a.out:(8)	             |  11637.927 ms |	     1074 |	 avg:   10.760 ms |	 max:   36.005 ms |	 max at:   1435.263027 s|	t8
  a.out:(7)	             |  10088.809 ms |	      916 |	 avg:   11.038 ms |	 max:   28.006 ms |	 max at:   1439.159288 s|	t8
  a.out:(8)	             |  11348.697 ms |	     1234 |	 avg:    9.235 ms |	 max:   32.051 ms |	 max at:   1381.943487 s|	t8
  a.out:(7)	             |   9917.485 ms |	      900 |	 avg:   11.090 ms |	 max:   35.965 ms |	 max at:   1386.495731 s|	t8
  a.out:(8)	             |  10822.013 ms |	      965 |	 avg:   11.241 ms |	 max:   31.979 ms |	 max at:   1390.784021 s|	t8
  a.out:(8)	             |  11471.844 ms |	     1059 |	 avg:   10.786 ms |	 max:   24.001 ms |	 max at:   1393.748221 s|	t8
  a.out:(7)	             |  10285.564 ms |	      948 |	 avg:   10.855 ms |	 max:   24.864 ms |	 max at:   1397.372506 s|	t8
  a.out:(8)	             |  11416.405 ms |	     1150 |	 avg:    9.944 ms |	 max:   31.984 ms |	 max at:   1403.672890 s|	t8
  a.out:(7)	             |  10271.184 ms |	      960 |	 avg:   10.761 ms |	 max:   40.008 ms |	 max at:   1405.349005 s|	t8
  a.out:(8)	             |  11464.034 ms |	     1041 |	 avg:   10.972 ms |	 max:   31.999 ms |	 max at:   1412.153457 s|	t8
  a.out:(8)	             |  11623.356 ms |	     1045 |	 avg:   11.197 ms |	 max:   32.846 ms |	 max at:   1413.265540 s|	t8
  a.out:(8)	             |  11200.471 ms |	      981 |	 avg:   11.283 ms |	 max:   32.003 ms |	 max at:   1417.085795 s|	t8
  a.out:(8)	             |  11554.701 ms |	     1018 |	 avg:   11.172 ms |	 max:   31.982 ms |	 max at:   1423.326218 s|	t8
  a.out:(8)	             |  11647.000 ms |	     1082 |	 avg:   10.738 ms |	 max:   28.011 ms |	 max at:   1424.722322 s|	t8
  a.out:(8)	             |  11566.585 ms |	     1278 |	 avg:    9.142 ms |	 max:   32.005 ms |	 max at:   1429.118632 s|	t8
  a.out:(8)	             |  11561.751 ms |	     1047 |	 avg:   10.956 ms |	 max:   36.005 ms |	 max at:   1435.263025 s|	t8
  a.out:(7)	             |  10193.671 ms |	      931 |	 avg:   10.926 ms |	 max:   28.007 ms |	 max at:   1436.287092 s|	t8
  a.out:(7)	             |  10120.721 ms |	     1111 |	 avg:    9.179 ms |	 max:   32.051 ms |	 max at:   1381.943488 s|	t8
  a.out:(8)	             |  11067.682 ms |	      992 |	 avg:   11.142 ms |	 max:   40.047 ms |	 max at:   1385.863755 s|	t8
  a.out:(7)	             |  10123.370 ms |	      908 |	 avg:   11.264 ms |	 max:   36.004 ms |	 max at:   1392.680146 s|	t8
  a.out:(8)	             |  11383.630 ms |	     1034 |	 avg:   10.989 ms |	 max:   24.001 ms |	 max at:   1393.748219 s|	t8
  a.out:(8)	             |  11792.515 ms |	     1066 |	 avg:   10.973 ms |	 max:   28.032 ms |	 max at:   1400.324691 s|	t8
  a.out:(8)	             |  11398.580 ms | 	    1146 |	 avg:    9.910 ms |	 max:   31.984 ms |	 max at:   1403.672889 s|	t8
  a.out:(7)	             |   9579.877 ms |	      855 |	 avg:   11.127 ms |	 max:   31.980 ms |	 max at:   1405.525014 s|	t8
  a.out:(8)	             |  12059.227 ms |	     1140 |	 avg:   10.464 ms |	 max:   41.477 ms |	 max at:   1409.221335 s|	t8
  a.out:(8)	             |  11190.447 ms |	     1000 |	 avg:   11.092 ms |	 max:   32.846 ms |	 max at:   1413.265539 s|	t8
