Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
a.out:(8)	11382.464	1034	10.935	max:   31.980 ms |	 max at:   1409.413276 s|	t8	
a.out:(8)	10688.738	945	11.230	max:   32.846 ms |	 max at:   1413.265539 s|	t8	
a.out:(8)	11226.455	953	11.627	max:   31.984 ms |	 max at:   1418.373882 s|	t8	
a.out:(7)	9097.681	782	11.127	max:   31.980 ms |	 max at:   1421.182074 s|	t8	
a.out:(8)	11602.780	1070	10.840	max:   28.011 ms |	 max at:   1424.722320 s|	t8	
a.out:(6)	8172.612	984	9.007	max:   32.005 ms |	 max at:   1429.118633 s|	t8	
a.out:(8)	11617.936	1058	10.93	max:   36.005 ms |	 max at:   1435.263026 s|	t8	
a.out:(8)	11562.392	1059	10.876	max:   28.007 ms |	 max at:   1436.287093 s|	t8	
a.out:(7)	10212.685	1125	9.172	max:   32.051 ms |	 max at:   1381.943488 s|	t8	
a.out:(8)	11673.888	1062	10.923	max:   35.965 ms |	 max at:   1386.495729 s|	t8	
a.out:(7)	10286.139	920	11.024	max:   36.004 ms |	 max at:   1392.680147 s|	t8	
a.out:(8)	11579.541	1067	10.832	max:   31.990 ms |	 max at:   1396.440405 s|	t8	
a.out:(8)	11824.842	1085	10.897	max:   28.033 ms |	 max at:   1400.324692 s|	t8	
a.out:(8)	11015.018	1098	10.016	max:   31.983 ms |	 max at:   1403.672891 s|	t8	
a.out:(7)	10081.971	928	10.762	max:   31.980 ms |	 max at:   1405.525016 s|	t8	
a.out:(6)	8685.062	816	10.663	max:   41.477 ms |	 max at:   1409.221334 s|	t8	
a.out:(7)	10203.709	933	11.172	max:   32.846 ms |	 max at:   1413.265538 s|	t8	
a.out:(8)	11642.512	1006	11.377	max:   32.003 ms |	 max at:   1417.085795 s|	t8	
a.out:(8)	10312.363	901	11.393	max:   31.982 ms |	 max at:   1423.326216 s|	t8	
a.out:(8)	11552.205	1064	10.889	max:   28.012 ms |	 max at:   1424.722320 s|	t8	
a.out:(8)	11582.110	1274	9.208	max:   32.005 ms |	 max at:   1429.118635 s|	t8	
a.out:(8)	11637.927	1074	10.760	max:   36.005 ms |	 max at:   1435.263027 s|	t8	
a.out:(7)	10088.809	916	11.038	max:   28.006 ms |	 max at:   1439.159288 s|	t8	
a.out:(8)	11348.697	1234	9.235	max:   32.051 ms |	 max at:   1381.943487 s|	t8	
a.out:(7)	9917.485	900	11.090	max:   35.965 ms |	 max at:   1386.495731 s|	t8	
a.out:(8)	10822.013	965	11.241	max:   31.979 ms |	 max at:   1390.784021 s|	t8	
a.out:(8)	11471.844 	1059	10.786	max:   24.001 ms |	 max at:   1393.748221 s|	t8	
a.out:(7)	10285.564	948	10.855	max:   24.864 ms |	 max at:   1397.372506 s|	t8	
a.out:(8)	11416.405	1150	9.944	max:   31.984 ms |	 max at:   1403.672890 s|	t8	
a.out:(7)	10271.184	960	10.761	max:   40.008 ms |	 max at:   1405.349005 s|	t8	
a.out:(8)	11464.034	1041	10.972	max:   31.999 ms |	 max at:   1412.153457 s|	t8	
a.out:(8)	11623.356	1045	11.197	max:   32.846 ms |	 max at:   1413.265540 s|	t8	
a.out:(8)	11200.471	981	11.283	max:   32.003 ms |	 max at:   1417.085795 s|	t8	
a.out:(8)	11554.701	1018	11.172	max:   31.982 ms |	 max at:   1423.326218 s|	t8	
a.out:(8)	11647.000	1082	10.738	max:   28.011 ms |	 max at:   1424.722322 s|	t8	
a.out:(8)	11566.585	1278	9.142	max:   32.005 ms |	 max at:   1429.118632 s|	t8	
a.out:(8)	11561.751	1047	10.95	max:   36.005 ms |	 max at:   1435.263025 s|	t8	
a.out:(7)	10193.671	931	10.926	max:   28.007 ms |	 max at:   1436.287092 s|	t8	
a.out:(7)	10120.721	1111	9.179	max:   32.051 ms |	 max at:   1381.943488 s|	t8	
a.out:(8)	11067.682	992	11.14	max:   40.047 ms |	 max at:   1385.863755 s|	t8	
a.out:(7)	10123.370	908	11.264	max:   36.004 ms |	 max at:   1392.680146 s|	t8	
a.out:(8)	11383.630	1034	10.989	max:   24.001 ms |	 max at:   1393.748219 s|	t8	
a.out:(8)	11792.515	1066	10.973	max:   28.032 ms |	 max at:   1400.324691 s|	t8	
a.out:(8)	11398.580	1146	9.910	max:   31.984 ms |	 max at:   1403.672889 s|	t8	
a.out:(7)	9579.877	855	11.127	max:   31.980 ms |	 max at:   1405.525014 s|	t8	
a.out:(8)	12059.227	1140	10.464	max:   41.477 ms |	 max at:   1409.221335 s|	t8	
a.out:(8)	11190.447	1000	11.092	max:   32.846 ms |	 max at:   1413.265539 s|	t8	
